,E,rho,taw
12,13.0,0.9054244239531976,Tau=2
13,14.0,0.9041558823370011,Tau=2
14,15.0,0.9025208705358587,Tau=2
15,16.0,0.902099446934293,Tau=2
16,17.0,0.9016777886919307,Tau=2
17,18.0,0.9007501108952368,Tau=2
18,19.0,0.9004687858491907,Tau=2
19,20.0,0.8996042979731735,Tau=2
0,1.0,0.8592073800557746,Tau=3
1,2.0,0.8520040947170271,Tau=3
2,3.0,0.8843435281842053,Tau=3
3,4.0,0.8863797452018974,Tau=3
4,5.0,0.8946749155456519,Tau=3
5,6.0,0.8975256218636553,Tau=3
6,7.0,0.899884815643395,Tau=3
7,8.0,0.9011369287239951,Tau=3
8,9.0,0.9026975634048713,Tau=3
9,10.0,0.9017845843041595,Tau=3
10,11.0,0.9012433889906476,Tau=3
11,12.0,0.9018500967554962,Tau=3
12,13.0,0.9019355839430964,Tau=3
13,14.0,0.9013724020360603,Tau=3
14,15.0,0.9003110740141299,Tau=3
15,16.0,0.8997598245503797,Tau=3
16,17.0,0.8991258127837685,Tau=3
17,18.0,0.8995171182109586,Tau=3
18,19.0,0.8976289447160943,Tau=3
19,20.0,0.8968508833566856,Tau=3
0,1.0,0.8592073800557746,Tau=4
1,2.0,0.87207140828646,Tau=4
2,3.0,0.8815804940724742,Tau=4
3,4.0,0.8948933340304353,Tau=4
4,5.0,0.8989371816539212,Tau=4
5,6.0,0.9083130289599187,Tau=4
6,7.0,0.9110357811202965,Tau=4
7,8.0,0.9109675688875877,Tau=4
8,9.0,0.9094760295393205,Tau=4
9,10.0,0.9094251305616067,Tau=4
10,11.0,0.9098612022755985,Tau=4
11,12.0,0.9111119807610937,Tau=4
12,13.0,0.9110235382771981,Tau=4
13,14.0,0.9106099356586472,Tau=4
14,15.0,0.9094914805542067,Tau=4
15,16.0,0.9092218488800209,Tau=4
16,17.0,0.9097478210949576,Tau=4
17,18.0,0.9096507722156644,Tau=4
18,19.0,0.9091971647385773,Tau=4
19,20.0,0.9083567746512372,Tau=4
0,1.0,0.8592073800557746,Tau=5
1,2.0,0.8616778579940089,Tau=5
2,3.0,0.8769923675559547,Tau=5
3,4.0,0.8792843787046731,Tau=5
4,5.0,0.8930411943048585,Tau=5
5,6.0,0.8987675010298282,Tau=5
6,7.0,0.903323842176261,Tau=5
7,8.0,0.9057339225783844,Tau=5
8,9.0,0.908076573856126,Tau=5
9,10.0,0.9077891695015703,Tau=5
10,11.0,0.9087273813408884,Tau=5
11,12.0,0.910376900567446,Tau=5
12,13.0,0.9111009169213584,Tau=5
13,14.0,0.9113299868566096,Tau=5
14,15.0,0.9105544233450437,Tau=5
15,16.0,0.9097166414005389,Tau=5
16,17.0,0.9098701869082154,Tau=5
17,18.0,0.9112244871601896,Tau=5
18,19.0,0.9110952966190832,Tau=5
19,20.0,0.9111049757542982,Tau=5
0,1.0,0.8592073800557746,Tau=6
1,2.0,0.8833361186157878,Tau=6
2,3.0,0.8892789312482962,Tau=6
3,4.0,0.8996766370234619,Tau=6
4,5.0,0.9021767795769052,Tau=6
5,6.0,0.9076220158822466,Tau=6
6,7.0,0.9091973462206284,Tau=6
7,8.0,0.9094749808853206,Tau=6
8,9.0,0.911417836551144,Tau=6
9,10.0,0.9099271607963084,Tau=6
10,11.0,0.9106580334892446,Tau=6
11,12.0,0.9115409778757992,Tau=6
12,13.0,0.9138081782679341,Tau=6
13,14.0,0.9127896350777905,Tau=6
14,15.0,0.9150295877301606,Tau=6
15,16.0,0.9153862810254422,Tau=6
16,17.0,0.9155894125811879,Tau=6
17,18.0,0.9150743863183969,Tau=6
18,19.0,0.9141750210375478,Tau=6
19,20.0,0.9143918131055839,Tau=6
