,E,rho,taw,City
0,1,0.552492592,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2,0.601765946,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3,0.580439526,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4,0.574002657,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5,0.605793606,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6,0.612885592,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7,0.625133873,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8,0.628487912,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9,0.628213214,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10,0.634523069,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11,0.63249264,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12,0.635474468,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13,0.623625096,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14,0.624538457,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15,0.630858152,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16,0.620809817,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
16,17,0.617090612,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
17,18,0.615451354,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
18,19,0.605419399,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
19,20,0.604804519,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
0,1,0.552492592,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2,0.540536989,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3,0.54652618,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4,0.567027936,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5,0.596848139,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6,0.589717251,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
